"doi","all_links"
"10.3389/feduc.2025.1467522",""
"10.3389/feduc.2025.1467522",""
"10.3389/feduc.2025.1669765",""
"10.3389/feduc.2025.1669765",""
"10.3389/feduc.2025.1711671",""
"10.3389/feduc.2025.1711671",""
"10.3389/feduc.2025.1654608",""
"10.3389/feduc.2025.1654608",""
"10.3389/feduc.2025.1626074",""
"10.3389/feduc.2025.1626074",""
"10.3389/feduc.2025.1648234",""
"10.3389/feduc.2025.1648234",""
"10.3389/feduc.2025.1676938",""
"10.3389/feduc.2025.1676938",""
"10.3389/feduc.2025.1673500",""
"10.3389/feduc.2025.1673500",""
"10.3389/feduc.2025.1670701",""
"10.3389/feduc.2025.1670701",""
"10.3389/feduc.2025.1704820",""
"10.3389/feduc.2025.1704820",""
"10.3389/feduc.2025.1635715",""
"10.3389/feduc.2025.1635715",""
"10.3389/feduc.2025.1677602",""
"10.3389/feduc.2025.1677602",""
"10.3389/feduc.2025.1678302",""
"10.3389/feduc.2025.1605724",""
"10.3389/feduc.2025.1605724",""
"10.3389/feduc.2025.1645840",""
"10.3389/feduc.2025.1645840",""
"10.3389/feduc.2025.1671762",""
"10.3389/feduc.2025.1671762",""
"10.3389/feduc.2025.1706236",""
"10.3389/feduc.2025.1706236",""
"10.3389/feduc.2025.1525049",""
"10.3389/feduc.2025.1525049",""
"10.3389/feduc.2025.1670588",""
"10.3389/feduc.2025.1670588",""
"10.3389/feduc.2025.1691178",""
"10.3389/feduc.2025.1691178",""
"10.3389/feduc.2025.1515281","https://osf.io/yr2fv/? view_only=e85db5416bb94c0399fc242334196a25"
"10.3389/feduc.2025.1515281","https://osf.io/yr2fv/? view_only=e85db5416bb94c0399fc242334196a25"
"10.3389/feduc.2025.1670426",""
"10.3389/feduc.2025.1670426",""
"10.3389/feduc.2025.1656230",""
"10.3389/feduc.2025.1656230",""
"10.3389/feduc.2025.1687516",""
"10.3389/feduc.2025.1687516",""
"10.3389/feduc.2025.1636623",""
"10.3389/feduc.2025.1636623",""
"10.3389/feduc.2025.1667220",""
"10.3389/feduc.2025.1667220",""
"10.3389/feduc.2025.1658807",""
"10.3389/feduc.2025.1658807",""
"10.3389/feduc.2025.1685063",""
"10.3389/feduc.2025.1685063",""
"10.3389/feduc.2025.1669903",""
"10.3389/feduc.2025.1669903",""
"10.3389/feduc.2025.1660135",""
"10.3389/feduc.2025.1660135",""
"",""
"",""
"",""
"",""
"10.3389/feduc.2025.1665203",""
"10.3389/feduc.2025.1679954",""
"10.3389/feduc.2025.1665901",""
"10.3389/feduc.2025.1652473",""
"10.3389/feduc.2025.1627341",""
"10.3389/feduc.2025.1694545",""
"10.3389/feduc.2025.1682404",""
"",""
"",""
"10.3389/feduc.2025.1639273",""
"10.3389/feduc.2025.1666615",""
"10.3389/feduc.2025.1695351",""
"10.3389/feduc.2025.1674320",""
"10.3389/feduc.2025.1544886",""
"10.3389/feduc.2025.1696703","https://osf.io/2j4m5"
"10.3389/feduc.2025.1673560",""
"10.3389/feduc.2025.1712743",""
"",""
"10.3389/feduc.2025.1684459",""
"10.3389/feduc.2025.1611159",""
"10.3389/feduc.2025.1472018",""
"10.3389/feduc.2025.1678107",""
"",""
"10.3389/feduc.2025.1656711",""
"10.3389/feduc.2023.1086706",""
"10.3389/feduc.2025.1639296",""
"10.3389/feduc.2025.1579150",""
"10.3389/feduc.2025.1612398",""
"10.3389/feduc.2025.1643377",""
"10.3389/feduc.2025.1683234",""
"",""
"",""
"10.3389/feduc.2025.1645780",""
"10.3389/feduc.2025.1683084",""
"10.3389/feduc.2025.1683345",""
"10.3389/feduc.2025.1694697",""
"10.3389/feduc.2025.1675773","https://osf.io/swm25/? view_only=d1521ade7f9b439394ad4b51cb725f06"
"10.3389/feduc.2025.1431208",""
"",""
"10.3389/feduc.2025.1651973",""
