...1,openalex_id,journal_id,journal_name,doi,publication_year,oa_urls,pdf_download_status,pdf_local_path,tei_process_status,tei_local_path,journal_short,journal_long,osf_links,git_links,osf_links_raw,git_links_raw,has_osf,has_git,all_osf_links,all_git_links,has_any_link,all_osf_links_clean,all_git_links_clean,second_trial_osf,second_trial_git,second_trial_any_link
11172,W4396890753,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050522,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/522/pdf?version=1715576471""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/c820c10111c16e6387e81406af7645101ebc9b3818b6220758efa884f4ea5d53.pdf,DONE,c820c10111c16e6387e81406af7645101ebc9b3818b6220758efa884f4ea5d53.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11173,W4396890619,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050526,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/526/pdf?version=1715583377""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/388bf400a91630016156bb97bc40af93fca30c8a6e359c62ac4bf6cbeec16ad1.pdf,DONE,388bf400a91630016156bb97bc40af93fca30c8a6e359c62ac4bf6cbeec16ad1.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11174,W4396890152,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050529,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/529/pdf?version=1715601647""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/514f7e0b7847a05d6c9ffc5e119b8099b43091bafdfaa0d71c5dd4f158f7b285.pdf,DONE,514f7e0b7847a05d6c9ffc5e119b8099b43091bafdfaa0d71c5dd4f158f7b285.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11175,W4396890417,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050523,2024,"{""pdf_links"": [""https://digibug.ugr.es/bitstream/10481/93259/1/education-14-00523.pdf"", ""https://www.mdpi.com/2227-7102/14/5/523/pdf?version=1715581494""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/cd0ecc0a0ab2d165ac7c3494c3263ecf36ebc25bdecac91262d87c71e89de957.pdf,DONE,cd0ecc0a0ab2d165ac7c3494c3263ecf36ebc25bdecac91262d87c71e89de957.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11176,W4396890633,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050524,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/524/pdf?version=1715582335""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/67f4168bac48a467373209cf3c52732752c38347a8251190034ba4a93a2fe516.pdf,DONE,67f4168bac48a467373209cf3c52732752c38347a8251190034ba4a93a2fe516.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11177,W4396890504,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050521,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/521/pdf?version=1715580368""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/40dfe4ca7a8c2160bc3c218c5952540fa7957b5ff2283b2d1fd497ac6734ce8e.pdf,DONE,40dfe4ca7a8c2160bc3c218c5952540fa7957b5ff2283b2d1fd497ac6734ce8e.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11178,W4396890660,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050519,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/519/pdf?version=1715419119""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/43b80f8da45534ce5d3f32a204c18a7acb8743c01ecbcab02e4d315f96b878d1.pdf,DONE,43b80f8da45534ce5d3f32a204c18a7acb8743c01ecbcab02e4d315f96b878d1.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11179,W4396890697,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050520,2024,"{""pdf_links"": [""https://researchcommons.waikato.ac.nz/bitstreams/94d3f8ad-4832-435c-b7ae-8b59e955aaaa/download"", ""https://www.mdpi.com/2227-7102/14/5/520/pdf?version=1715419533""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/8e409eb57c881bafe40e9d0ccc6f488e4093760aa3654843667f021e3baf0861.pdf,DONE,8e409eb57c881bafe40e9d0ccc6f488e4093760aa3654843667f021e3baf0861.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11180,W4396890670,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050517,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/517/pdf?version=1715414153""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/10249eec0bb40fe8cb38c80e0d96fb2bfce3f4b2aac3e29aeec4e362a347df37.pdf,DONE,10249eec0bb40fe8cb38c80e0d96fb2bfce3f4b2aac3e29aeec4e362a347df37.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11181,W4396890750,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050518,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/518/pdf?version=1715654189""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/638a7d619e37e9ee37c5b44ec13be88b28cd0d2ac2ae0bc5b30ac69616ad795b.pdf,DONE,638a7d619e37e9ee37c5b44ec13be88b28cd0d2ac2ae0bc5b30ac69616ad795b.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
